设备型号,设备品牌,App启动-启动的总人数,系统要求,不支持原因,机型,系统,CPU,内存,标记颜色说明：绿色可支持，蓝色满足条件支持，红色不支持
PHK110,OnePlus,25944,,,一加 Ace 2,基于 Android 13 的 ColorOS,骁龙 8+ Gen1（性能超骁龙 865）,16GB,
M2012K11C,Redmi,4908,,,,,,,
V2164A,vivo,4854,,,,,,,
SM-S9080,samsung,4850,,,,,,,
PTP-AN70,HONOR,4848,,,,,,,
V2456A,vivo,4838,,,,,,,
SM-S9380,samsung,4833,,,,,,,
V1981A,vivo,4782,,,,,,,
V2111A,vivo,4764,,,,,,,
TDT-MA01,TDTech,4757,,,,,,,
MEIZU 20,meizu,4756,,,,,,,
PJU110,OPPO,4753,,,,,,,
ALA-AN70,HONOR,4744,,,,,,,
SM-F9460,samsung,4740,,,,,,,
2112123AC,Xiaomi,4713,,,,,,,
PENM00,OPPO,4671,,,,,,,
MEIZU 21,meizu,4661,,,,,,,
EBG-AN10,HONOR,4648,,,,,,,
PCHM10,OPPO,4620,,,,,,,
PEYM00,OPPO,4547,,,,,,,
JNY-AL10,HUAWEI,4537,,,,,,,
PKX110,OnePlus,4531,,,,,,,
V2136A,vivo,4527,,,,,,,
GFY-AL00,HUAWEI,4512,,,,,,,
V2154A,vivo,4503,,,,,,,
2109119BC,Xiaomi,4488,,,,,,,
Mi 10 Pro,Xiaomi,4481,,,,,,,
RMX3366,realme,4460,,,,,,,
RMX5010,realme,4456,,,,,,,
SM-S9260,samsung,4451,,,,,,,
SM-S9110,samsung,4418,,,,,,,
MBH-AN10,HONOR,4409,,,,,,,
PGZ110,OnePlus,4383,,,,,,,
V2049A,vivo,4364,,,,,,,
EVR-AL00,HUAWEI,4356,,,,,,,
V2220A,vivo,4301,,,,,,,
V2196A,vivo,4244,,,,,,,
V2339FA,vivo,4236,,,,,,,
PFEM10,OPPO,4233,,,,,,,
MAO-AL00,HUAWEI,4223,,,,,,,
PEMM20,OPPO,4217,,,,,,,
V2047A,vivo,4210,,,,,,,
V2157A,vivo,4206,,,,,,,
V2256A,vivo,4185,,,,,,,
MGA-AL00,HUAWEI,4180,,,,,,,
PJS110,OPPO,4158,,,,,,,
M2012K10C,Redmi,4095,,,,,,,
RMX3706,realme,4084,,,,,,,
Redmi Note 8 Pro,Redmi,4073,,,,,,,
PECM30,OPPO,4056,,,,,,,
WLZ-AL10,HUAWEI,4044,,,,,,,
V2352GA,vivo,4019,,,,,,,
V2436A,vivo,4016,,,,,,,
V2266A,vivo,3997,,,,,,,
V2454A,vivo,3992,,,,,,,
PJT110,OPPO,3984,,,,,,,
V1934A,vivo,3971,,,,,,,
V2031EA,vivo,3971,,,,,,,
BAL-AL60,HUAWEI,3967,,,,,,,
24072PX77C,Xiaomi,3961,,,,,,,
CDY-AN20,HUAWEI,3955,,,,,,,
TYH641M,Tianyi,3952,,,,,,,
BVL-AN20,HONOR,3884,,,,,,,
ABR-AL90,HUAWEI,3881,,,,,,,
V2123A,vivo,3871,,,,,,,
V2163A,vivo,3856,,,,,,,
V2453A,vivo,3851,,,,,,,
M2007J1SC,Xiaomi,3848,,,,,,,
V2156FA,vivo,3827,,,,,,,
Hebe-BD00,Hinova,3816,,,,,,,
HJC-AN90,HONOR,3806,,,,,,,
KB2000,OnePlus,3801,,,,,,,
V2254A,vivo,3798,,,,,,,
PKS110,OPPO,3795,,,,,,,
V2366GA,vivo,3790,,,,,,,
V2020CA,vivo,3789,,,,,,,
HLK-AL10,HONOR,3760,,,,,,,
FIO-BD00,PTAC,3748,,,,,,,
22122RK93C,Redmi,3735,,,,,,,
PGKM10,OnePlus,3732,,,,,,,
GIA-AN80,HONOR,3725,,,,,,,
PKV110,OPPO,3700,,,,,,,
V1901A,vivo,3670,,,,,,,
V2012A,vivo,3657,,,,,,,
V2463A,vivo,3608,,,,,,,
BAL-AL00,HUAWEI,3603,,,,,,,
SM-W9025,samsung,3601,,,,,,,
PERM00,OPPO,3571,,,,,,,
M2101K9C,Xiaomi,3571,,,,,,,
SM-W9024,samsung,3570,,,,,,,
PHA120,OPPO,3558,,,,,,,
PPG-AN00,HONOR,3558,,,,,,,
PFCM00,OPPO,3537,,,,,,,
CHL-AN00,HONOR,3536,,,,,,,
V2426A,vivo,3511,,,,,,,
PPA-AL20,HUAWEI,3504,,,,,,,
V2172A,vivo,3487,,,,,,,
AQM-AL10,HONOR,3481,,,,,,,
MIZ-BD00,Hinova,3481,,,,,,,
PEXM00,OPPO,3436,,,,,,,
PDPM00,OPPO,3382,,,,,,,
PCRM00,OPPO,3341,,,,,,,
PGT110,OPPO,3334,,,,,,,
V1932A,vivo,3328,,,,,,,
V2242A,vivo,3324,,,,,,,
